gene,avg_logFC,avg(logUMI)_cluster_4,avg(logUMI)_cluster_all,p_val,p_val_adj,cluster,Tabulo,
Mnda,0.519671053,0.40814946,0.100970252,8.10E-20,9.83E-16,4,,
Sepw1,0.518884061,1.052023483,0.55901653,6.18E-17,7.50E-13,4,,
Scand1,0.518719335,1.032983934,0.562551427,2.89E-18,3.51E-14,4,,
Degs1,0.516448505,0.898716308,0.471883418,2.18E-16,2.65E-12,4,,
Aldoa,0.515754104,1.768874651,1.227705836,6.84E-22,8.30E-18,4,,
Adrbk2,0.515048969,0.504339131,0.190240272,6.51E-17,7.91E-13,4,,
Cdc42ep3,0.514437726,0.573191373,0.225111703,2.01E-15,2.44E-11,4,,
Eif3f,0.513394197,2.257070776,1.632636734,7.21E-27,8.76E-23,4,,
Lpl,0.509831086,0.37565619,0.096031034,1.10E-15,1.34E-11,4,,
Mcemp1,0.508822417,0.856350743,0.374252077,4.63E-23,5.62E-19,4,,
Gstp1,0.508340463,0.594264808,0.257411159,7.72E-15,9.37E-11,4,,
Ywhaz,0.507612503,0.869702513,0.470909843,2.66E-15,3.23E-11,4,,
Ccnd3,0.506982886,0.987690755,0.485547144,1.36E-19,1.66E-15,4,,
Rilpl2,0.504881124,0.537067776,0.194402975,4.59E-17,5.58E-13,4,,
Gpi1,0.504266412,1.283881775,0.800181661,6.69E-19,8.12E-15,4,,
1110008F13Rik,0.503238939,1.129397961,0.653363113,8.68E-19,1.05E-14,4,,
Slc16a3,0.502569377,0.601357218,0.260093005,3.00E-13,3.64E-09,4,,
Mtpn,0.501060163,0.824128237,0.434410335,2.84E-17,3.45E-13,4,,
Cycs,0.500842693,1.189603631,0.676802994,3.42E-19,4.16E-15,4,,
BC037034,-0.501466443,0.074809345,0.350064328,3.39E-12,4.12E-08,4,,
H2-DMb2,-0.50215271,0.097616723,0.281355911,1.52E-05,0.184743251,4,,
Commd8,-0.504044721,0.515878286,0.885679761,2.19E-11,2.66E-07,4,,
Edem2,-0.504242912,0.320257627,0.631354915,1.43E-10,1.74E-06,4,,
Naglu,-0.504591431,0.056124483,0.336315594,1.32E-13,1.60E-09,4,,
Tnf,-0.507181525,0.090555287,0.309675276,3.02E-06,0.036718958,4,,
Pde3b,-0.507511249,0.031907456,0.307025522,6.82E-15,8.28E-11,4,,
Itga6,-0.50774695,0.011880792,0.278871598,1.89E-16,2.30E-12,4,,
Ptpra,-0.508460713,0.19750435,0.513220897,1.93E-11,2.35E-07,4,,
B4galt4,-0.51000131,0.027218489,0.3009639,1.41E-15,1.71E-11,4,,
Tpp1,-0.511026504,0.199159714,0.502478921,7.60E-11,9.23E-07,4,,
Tagap,-0.512611578,0.062338639,0.328083303,4.19E-12,5.09E-08,4,,
Zbtb20,-0.516405331,0.104918276,0.37926881,3.10E-10,3.77E-06,4,,
Ifi27,-0.518628176,0.240186843,0.553844819,1.19E-10,1.45E-06,4,,
Slamf9,-0.519363119,0.103505757,0.417046262,1.52E-13,1.84E-09,4,,
Ccnd1,-0.519582169,0.121344383,0.440753766,4.48E-13,5.44E-09,4,,
Slc40a1,-0.5212438,0.00722162,0.27274126,1.98E-16,2.40E-12,4,,
Mef2a,-0.521536852,0.569466151,0.96022725,1.12E-10,1.36E-06,4,,
Acox3,-0.52228712,0.22448202,0.471195766,2.92E-07,0.003547373,4,,
Hps4,-0.522433977,0.056323302,0.343795698,5.57E-14,6.76E-10,4,,
Jund,-0.522704197,1.160784661,1.569332458,2.50E-12,3.03E-08,4,,
Bmp2k,-0.525028912,0.069724454,0.367437932,2.63E-14,3.20E-10,4,,
Asah1,-0.52525995,0.851087959,1.242323168,6.76E-11,8.21E-07,4,,
Mgat4a,-0.526165538,0.046343464,0.342849443,1.30E-15,1.58E-11,4,,
Ppfia4,-0.526173684,0.321766326,0.665505447,8.36E-12,1.01E-07,4,,
Lpar6,-0.526734046,0.28299552,0.59227536,4.30E-08,0.000522839,4,,
Mfng,-0.528011975,0.128930166,0.444769869,4.65E-13,5.65E-09,4,,
Ssh2,-0.528687889,0.50683447,0.846107116,2.90E-08,0.00035252,4,,
Grap,-0.529856501,0.015510042,0.30604129,5.79E-18,7.03E-14,4,,
Cd86,-0.530055702,0.364730501,0.748369729,1.93E-11,2.35E-07,4,,
