gene,avg_logFC,avg(logUMI)_cluster_4,avg(logUMI)_cluster_all,p_val,p_val_adj,cluster,Tabulo,
Itm2c,-1.067306817,0.666873792,1.53744413,1.17E-37,1.42E-33,4,,
Marcks,-1.075965635,0.737618623,1.659712105,1.71E-38,2.08E-34,4,,
Sgk1,-1.077530988,0.356723676,0.978910114,3.93E-17,4.77E-13,4,,
Mef2c,-1.089825475,0.568840193,1.403083102,3.34E-32,4.05E-28,4,,
Vsir,-1.094272088,0.963415923,1.73696218,7.35E-30,8.93E-26,4,,
H2-Aa,-1.09799486,0.957221686,1.184004219,6.12E-15,7.43E-11,4,,
Cmtm6,-1.107175559,0.24026066,1.008113902,9.02E-35,1.10E-30,4,,
Serinc3,-1.124629959,0.655399558,1.525675333,5.73E-37,6.95E-33,4,,
Scoc,-1.139279823,0.147483833,0.886173588,2.76E-33,3.36E-29,4,,
Mt1,-1.14526619,0.237454886,0.896875235,1.01E-21,1.23E-17,4,,
Ccl3,-1.158441279,0.728404785,1.386912598,3.29E-09,3.99E-05,4,,
H2-Ab1,-1.167578317,1.079369198,1.300772119,8.73E-11,1.06E-06,4,,
Trf,-1.175415189,0.717107938,1.764690428,3.59E-41,4.35E-37,4,,
Ldhb,-1.179667293,0.241245469,1.056590764,1.52E-33,1.84E-29,4,,
St3gal6,-1.200215225,0.098651516,0.876185168,1.87E-39,2.27E-35,4,,
Ckb,-1.208653143,0.543300036,1.5813812,4.39E-51,5.33E-47,4,,
Gem,-1.215105433,0.017434554,0.587687334,1.59E-26,1.93E-22,4,,
Ccr5,-1.219672707,0.069810149,0.845447251,2.11E-43,2.56E-39,4,,
H2-Eb1,-1.22123107,0.715889019,1.080751327,1.99E-10,2.42E-06,4,,
Tgfbr1,-1.224685246,0.270323767,1.163248423,5.00E-35,6.07E-31,4,,
Ttr,-1.227469005,0.343355725,0.118838976,3.85E-14,4.67E-10,4,,
Ecscr,-1.298537813,0.037915481,0.828861518,8.09E-41,9.83E-37,4,,
Hk2,-1.301696238,0.201345023,0.970225994,4.84E-25,5.88E-21,4,,
Csf1r,-1.306131933,1.321847912,2.144404834,9.07E-67,1.10E-62,4,,
Pmp22,-1.330228086,0.035949657,0.865076269,7.71E-45,9.36E-41,4,,
Bin1,-1.334744348,0.362419285,1.376404494,5.50E-48,6.67E-44,4,,
Smad7,-1.335243676,0.075789701,0.869781758,1.50E-37,1.82E-33,4,,
Syngr1,-1.34408922,0.060504005,0.912257591,3.37E-43,4.09E-39,4,,
Timp2,-1.348060017,0.139930547,1.096655198,9.85E-49,1.20E-44,4,,
Crybb1,-1.348187676,0.166950789,0.999468146,1.73E-36,2.11E-32,4,,
Camk1,-1.378948489,0.220123997,1.164626048,3.92E-48,4.76E-44,4,,
Sox4,-1.380606725,0.026406811,0.682502938,5.86E-31,7.11E-27,4,,
Rgs10,-1.392931388,0.826108658,1.969117775,8.41E-54,1.02E-49,4,,
Plxdc2,-1.41105293,0.03837031,0.925657687,1.21E-47,1.47E-43,4,,
Lag3,-1.433994739,0.021995838,0.906194099,5.49E-50,6.67E-46,4,,
Slc2a5,-1.457735799,0.035460958,0.909765679,6.19E-43,7.52E-39,4,,
Rgs1,-1.46394053,0.267520585,1.078289594,6.74E-23,8.19E-19,4,,
Glul,-1.510866341,0.331532693,1.395864442,2.82E-44,3.43E-40,4,,
Ccl4,-1.516240694,0.704922013,1.741091403,1.16E-17,1.41E-13,4,,
Mafb,-1.520613502,0.369050474,1.359681461,2.17E-33,2.64E-29,4,,
Lpcat2,-1.539120011,0.456705958,1.626615927,9.94E-48,1.21E-43,4,,
Cx3cr1,-1.552303389,0.785331739,1.938716734,5.36E-55,6.51E-51,4,,
Basp1,-1.583375955,0.084881982,1.202597005,1.32E-61,1.61E-57,4,,
Hpgds,-1.589612917,0.054890241,1.139735554,4.72E-59,5.74E-55,4,,
Retnlg,-1.599193516,0.27643737,0.340618051,0.025939872,1,4,,
Rnase4,-1.615630344,0.203603563,1.278196533,8.59E-55,1.04E-50,4,,
Rhob,-1.626754094,0.324489367,1.469471436,1.56E-48,1.89E-44,4,,
Fscn1,-1.63172741,0.035466545,1.066644724,6.25E-55,7.60E-51,4,,
Ptgs1,-1.669470556,0.055755299,1.125053521,1.40E-54,1.70E-50,4,,
Itgb5,-1.701222479,0.196062893,1.390239181,1.62E-59,1.97E-55,4,,
Ltc4s,-1.732498776,0.072397493,1.200910556,3.10E-54,3.76E-50,4,,
Ctsl,-1.740758452,0.400972498,1.675922125,6.15E-59,7.47E-55,4,,
Cst3,-1.746868279,4.106002171,5.347737771,9.60E-39,1.17E-34,4,,
Sepp1,-1.75191511,1.071191526,2.336711978,1.70E-57,2.06E-53,4,,
Serpine2,-1.763637345,0.033379345,1.168010256,2.74E-58,3.33E-54,4,,
Cd63,-1.784067238,0.108101048,1.307839191,1.32E-57,1.61E-53,4,,
Selplg,-1.825206931,1.248314436,2.70237553,6.61E-63,8.02E-59,4,,
P2ry13,-1.871516527,0.008101764,1.183567065,5.32E-63,6.46E-59,4,,
Trem2,-2.061500669,0.539472432,2.087826892,3.63E-85,4.41E-81,4,,
S100a8,-2.074810953,0.882990831,0.77796955,1.99E-06,0.02411918,4,,
Siglech,-2.075528572,0.040818396,1.449663489,2.01E-65,2.44E-61,4,,
S100a9,-2.178627522,0.642025637,0.671925203,0.000162143,1,4,,
Ngp,-2.272394994,0.135341312,0.211369748,0.0004474,1,4,,
Ccl5,-2.376741856,0.248578797,0.590948323,0.000428401,1,4,,
Lgmn,-2.430871005,0.815013845,2.695869108,1.23E-67,1.50E-63,4,,
Olfml3,-2.446245111,0.059793646,1.725864713,7.30E-67,8.86E-63,4,,
Gpr34,-2.593092076,0.055664614,1.863391095,3.45E-73,4.19E-69,4,,
Fcrls,-2.607703225,0.086185589,1.920505836,1.58E-70,1.92E-66,4,,
Cd81,-2.644506796,0.346705827,2.433401657,2.52E-77,3.07E-73,4,,
Ctsd,-2.715986156,1.066725002,3.267363892,9.91E-71,1.20E-66,4,,
Tmem119,-2.779465357,0.0573529,1.949744141,1.50E-68,1.82E-64,4,,
Sparc,-2.805735495,0.094322756,2.101284751,2.67E-72,3.25E-68,4,,
Hexb,-2.945037388,1.149373765,3.399243276,1.32E-71,1.61E-67,4,,
C1qb,-2.952403464,0.357555828,2.910909899,4.83E-82,5.87E-78,4,,
P2ry12,-2.98087791,0.14128742,2.264268198,1.69E-73,2.05E-69,4,,
C1qc,-3.066418041,0.309953899,2.846941015,2.82E-87,3.42E-83,4,,
C1qa,-3.209760926,0.289269069,2.988959637,2.37E-87,2.88E-83,4,,
